ID,parasite_load,species,ST1,ST2,ST3,ST5,unclassify,Pattern,Pattern_class,sex,age,bmi,parasite_load_log,ST1_abs,ST2_abs,ST3_abs
SX53,1.98288002,mfas,16.847826086956523,1.8682065217391304,81.28154114906833,0,0.00242624223602484,Pattern_2,ST3_dom,female,7,34.375,0.9875973856919761,33.407217728260875,3.7044293851902172,161.17154393929545
SX54,619.8186885,mfas,96.7876552795031,2.722243788819876,0.4901009316770186,0,0,Pattern_1,ST1_dom,female,5,21.25,9.275702444859869,59990.79755833171,1687.2975749636064,303.7737167046778
SX55,40.87974382,mfas,53.81162655279503,1.3198757763975155,44.79571040372671,0.07278726708074534,0,Pattern_3,Balance,female,10,17.013,5.3533142502927005,2199.8055080157706,53.95618361335404,1831.2371655392567
SX56,42.05689137,mfas,60.03736413043478,3.6005434782608696,36.24805900621118,0,0.1140333850931677,Pattern_3,Balance,female,6,33.75,5.394270312269756,2524.9849013748303,151.42766593817936,1524.4806799975738
SX57,10.28439493,mfas,0.359083850931677,0,99.64091614906832,0,0,Pattern_2,ST3_dom,male,3,16.529,3.3623850120203285,3.6929601359666147,0,1024.7465328640333
SX58,16.21725608,mfas,0,10.282414596273291,89.02610636645963,0.5653144409937888,0.1261645962732919,Pattern_2,ST3_dom,male,6,39.481,4.019457834624189,0,166.75255062849376,1443.759164750194
SX59,64.03029821,mfas,20.246991459627328,4.078513198757764,75.67449534161491,0,0,Pattern_2,ST3_dom,female,8,30.246,6.0006828239681065,1296.4209010152608,261.14841636988064,4845.460503614859
SX60,5.033401663,mfas,74.2575698757764,3.518051242236025,21.542604813664596,0,0.6817740683229814,Pattern_1,ST1_dom,male,15,28.8,2.3315337287898306,373.7681757030716,17.707764973190024,108.43258289445119
SX61,1.989644963,mfas,10.588121118012422,9.129949534161492,79.95923913043478,0,0.3226902173913043,Pattern_2,ST3_dom,female,5,25.625,0.9925110157857518,21.066601850087345,18.165358103088607,159.09049738118205
SX62,18.77712024,mfas,51.79784549689441,1.2276785714285714,46.66876940993789,0,0.30570652173913043,Pattern_3,Balance,male,14,16.4,4.230903915384815,972.6143730681288,23.05226815178571,876.3050946632375
SX63,36.91283498,mfas,28.789790372670808,24.162946428571427,47.04726319875777,0,0,Pattern_2,ST3_dom,male,6,30.827,5.2060506386080405,1062.7127811351902,891.9228541484374,1736.6478627163724
SX64,22.66734415,mfas,38.848990683229815,8.89460403726708,52.256405279503106,0,0,Pattern_3,Balance,male,6,34.613,4.502543460554425,880.6034416969139,201.61705079071234,1184.513922512374
SX65,12.52487653,mfas,68.43216226708074,0,31.565411490683232,0,0.00242624223602484,Pattern_1,ST1_dom,female,10,33.081,3.6467244763170523,857.1043830761112,0,395.3528815394507
SX66,5996.608682,mfas,83.26863354037268,3.166246118012422,13.562694099378882,0,0.00242624223602484,Pattern_1,ST1_dom,male,8,25.2,12.549931115235005,499329.4108264752,18986.738960622086,81330.16918764557
SX67,0.442017003,mfas,30.57793090062112,0.795807453416149,68.6238354037267,0,0.00242624223602484,Pattern_2,ST3_dom,male,3,21.12,-1.1778262282752356,13.51596537463364,0.35176042552406833,30.332902059520574
SX68,3.600351993,mfas,23.279794254658384,0,76.72020574534162,0,0,Pattern_2,ST3_dom,male,17,36,1.848137960369104,83.81545364138925,0,276.21974565861075
SX69,7.045380649,mfas,82.8901397515528,11.609569099378882,5.497864906832298,0,0.00242624223602484,Pattern_1,ST1_dom,male,7,39.481,2.816677654808764,583.9925865984958,81.79383347599234,38.73455102541246
SX70,6.167408686,mfas,4.381793478260869,0,95.61820652173914,0,0,Pattern_2,ST3_dom,female,2,26.667,2.624664450293504,27.024311158084238,0,589.7165574419158
SX71,0.484454666,mfas,26.681385869565215,0,73.31861413043478,0,0,Pattern_2,ST3_dom,male,6,14.062,-1.0455664265576674,12.925921879857336,0,35.51954472014266
SX73,110.838464,mfas,15.239227484472051,21.071913819875775,63.68885869565217,0,0,Pattern_2,ST3_dom,male,8,38.4,6.7923148129699795,1689.0925669254661,2335.5785613354037,7059.17527173913
SX74,0.470351711,mfas,29.245923913043477,11.315993788819876,57.34180900621118,0,2.096273291925466,Pattern_2,ST3_dom,female,9,18.904,-1.088188142444543,13.755870352275815,5.322497040236802,26.970817977906638
SX75,45.10896767,mfas,97.72175854037268,1.6158773291925463,0.6623641304347826,0,0,Pattern_1,ST1_dom,male,10,28.8,5.495342364885809,4408.127646653217,72.89055820123252,29.87856214555027
SX76,0.563125846,mfas,0.00485248447204968,0,99.17507763975156,0,0.8200698757763976,Pattern_2,ST3_dom,female,8,28.828,-0.8284707265577005,0.0027325594235248396,0,55.84804949800078
SX77,26.31133205,mfas,90.3702445652174,5.830260093167702,3.7994953416149073,0,0,Pattern_1,ST1_dom,female,0.6,18.595,4.717612383804806,2377.761512195143,153.40190924919935,99.96978355565801
SX78,9.731994213,mfas,60.049495341614914,16.28251164596273,23.66799301242236,0,0,Pattern_1,ST1_dom,male,12,28,3.2827354623973157,584.4013411581668,158.4613091116144,230.33677103021887
SX79,1.761390259,mfas,74.8156055900621,10.267857142857142,14.916537267080743,0,0,Pattern_1,ST1_dom,male,15,30.4,0.8167145925005338,131.77947890752134,18.08570355223214,26.2738434402465
SX80,36.29764681,mfas,83.23709239130434,10.614809782608695,5.62888198757764,0.3251164596273292,0.1940993788819876,Pattern_1,ST1_dom,male,17,32.4,5.181804115681712,3021.3105811109035,385.29261644446336,204.315170320264
SX81,236.0717839,mfas,82.23262810559007,0,17.762519409937887,0,0.00485248447204968,Pattern_1,ST1_dom,male,15,27.6,7.883081805842851,19412.803211671926,0,4193.229643662413
SX82,7.857782404,mfas,50.28144409937888,0,49.677309782608695,0,0.04124611801242236,Pattern_3,Balance,female,7,21.25,2.9741222175526896,395.100646691809,0,390.35349068783967
SX83,12.86973339,mfas,56.50718167701864,0,43.22350543478261,0,0.26931288819875776,Pattern_3,Balance,female,8,28.355,3.685910261817469,727.2323628035231,0,556.2749911268683
SX84,15735.88414,mfas,94.68167701863354,0,5.31832298136646,0,0,Pattern_1,ST1_dom,male,10,40.4,13.941770620057968,1489899.8997461179,0,83688.514253882
SX85,171.6253821,mfas,18.242915372670808,0.218361801242236,81.53872282608695,0,0,Pattern_2,ST3_dom,male,8,20.625,7.423119122110168,3130.947321452591,37.476427574243004,13994.114460973165
SX86,365.4505221,mfas,93.08763586956522,1.987092391304348,4.925271739130435,0,0,Pattern_1,ST1_dom,male,8,27.778,8.513532284453467,34018.9251295873,726.1839518631115,1799.9431285495923
SX87,341.7386472,mfas,99.98786878881988,0,0.00970496894409937,0,0.00242624223602484,Pattern_1,ST1_dom,male,12,20.321,8.416749601050649,34169.719016302406,0,3.316562958074531
SX88,1.01724106,mfas,47.39906832298137,4.733598602484472,34.67342779503105,8.130337732919255,5.063567546583851,Unclass,Unclass,male,16,28.355,0.02466160137466986,48.21627850388199,4.8152108600058225,35.27123444405085
SX89,24.20569523,mfas,79.21195652173914,16.51057841614907,4.2750388198757765,0,0.00242624223602484,Pattern_1,ST1_dom,male,13,25.174,4.597274626411854,1917.3804781372285,399.6500292123205,103.48028677033192
SX90,45.64209239,mfas,99.88111413043478,0,0.1188858695652174,0,0,Pattern_1,ST1_dom,male,8,29.514,5.512293026116986,4558.783039157439,0,5.426199842561142
SX91,30.81167826,mfas,77.32919254658384,8.955260093167702,13.715547360248449,0,0,Pattern_1,ST1_dom,male,5,22.182,4.945405360563501,2382.642200850931,275.92659272530085,422.59903242376754
SX92,825.4587774,mfas,98.12694099378882,0,1.8682065217391304,0,0.00485248447204968,Pattern_1,ST1_dom,male,10,32.544,9.689052359939854,80999.74474273487,0,1542.127471365489
SX93,4166.734406,mfas,95.2736801242236,1.5212538819875776,3.20506599378882,0,0,Pattern_1,ST1_dom,male,11,28,12.024701428053067,396980.1209598408,6338.660890338702,13354.658749820457
SX94,175.7352967,mfas,72.36024844720497,11.143730590062113,16.496020962732917,0,0,Pattern_1,ST1_dom,male,13,27.905,7.457260177704903,12716.24973015528,1958.3468015894314,2898.9331382552887
SX95,46.05882293,mfas,9.263392857142858,3.8213315217391304,86.91527562111801,0,0,Pattern_2,ST3_dom,male,15,34.024,5.525405637265398,426.66097133816965,176.00603191661006,4003.21528974522
SX96,164.258875,mfas,94.28862577639752,0.01698369565217391,5.689538043478261,0,0.00485248447204968,Pattern_1,ST1_dom,male,10,31.805,7.3598275120579775,15487.743595327058,2.7897227411684775,934.5571182914401
SX97,39.3348383,mfas,78.809200310559,0.01698369565217391,21.173815993788818,0,0,Pattern_1,ST1_dom,male,0.6,17.778,5.2977357477867155,3099.9471507681483,0.6680509222146738,832.868628309637
SX98,38.47339887,mfas,61.18497670807454,2.763489906832298,36.051533385093165,0,0,Pattern_3,Balance,female,0.6,13.333,5.265789382704628,2353.994013741411,106.32084945877813,1387.0250237998105
SX99,262.0537887,mfas,83.29774844720497,0.18196816770186336,16.515430900621116,0,0.00485248447204968,Pattern_1,ST1_dom,male,0.6,15.556,8.033719156980618,21828.4905707696,47.685447769070265,4327.931239520816
SX100,59.63741319,mfas,24.335209627329192,55.53911102484472,20.011645962732917,0,0.1140333850931677,Unclass,Unclass,female,0.6,15.556,5.898145776068477,1451.2889516102969,3312.208912393949,1193.4427988914983
SX101,360.6686084,mfas,91.6124805900621,1.4775815217391304,6.902659161490683,0,0.00727872670807453,Pattern_1,ST1_dom,female,0.6,14.444,8.494530050170845,33041.745886489705,532.9172712432065,2489.5724740343553
SX102,17.995277,mfas,88.92420419254658,0.00242624223602484,11.073369565217392,0,0,Pattern_1,ST1_dom,male,0.6,16.667,4.169546404621556,1600.2156864494373,0.04366090110636638,199.26835264945655
SX103,28.65381479,mfas,75.73515139751554,10.265430900621118,9.911199534161492,4.088218167701863,0,Pattern_1,ST1_dom,male,4,17.307,4.840655318066497,2170.1010012370198,294.1437557659404,283.9936757985976
SX104,11.91314404,mfas,83.5840450310559,3.918381211180124,12.497573757763975,0,0,Pattern_1,ST1_dom,female,14,28.355,3.574482305093771,995.7487679008152,46.68023977241848,148.8853963267663
